
"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location","location_address","location_city","location_state","location_zip",":@computed_region_awaf_s7ux",":@computed_region_6mkv_f3dw",":@computed_region_vrxf_vc4k",":@computed_region_bdys_3d7i",":@computed_region_43wa_7qmu",":@computed_region_rpca_8um6",":@computed_region_d9mm_jgwp",":@computed_region_d3ds_rm58"
"11840022","JC447271","2019-09-24T22:23:00.000","026XX W 13TH ST","0820","THEFT","$500 AND UNDER","PARKING LOT/GARAGE(NON.RESID.)","false","false","1023","010","28","29","06","1158777","1894033","2019","2019-10-01T16:20:30.000","41.864960702","-87.692602296","POINT (-87.692602296 41.864960702)","","","","","11","14920","30","16","23","43","21","151"
"11843447","JC450913","2019-09-24T22:17:00.000","0000X W CHESTNUT ST","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","false","false","1832","018","2","8","26",,,"2019","2019-10-01T16:20:30.000",,,,,,,,,,,,,,,
"11839893","JC447349","2019-09-24T22:15:00.000","006XX N STATE ST","3731","INTERFERENCE WITH PUBLIC OFFICER","OBSTRUCTING IDENTIFICATION","STREET","false","false","1832","018","42","8","24","1176262","1904268","2019","2019-10-01T16:20:30.000","41.8926701","-87.628106353","POINT (-87.628106353 41.8926701)","","","","","22","21182","37","626","36","6","14","74"
"11839890","JC447255","2019-09-24T22:15:00.000","079XX S DAMEN AVE","0810","THEFT","OVER $500","GAS STATION","false","false","0611","006","17","71","06","1164404","1852184","2019","2019-10-01T16:20:30.000","41.750005014","-87.673125651","POINT (-87.673125651 41.750005014)","","","","","6","21554","70","574","30","59","20","231"
"11839960","JC447261","2019-09-24T22:10:00.000","002XX S CENTRAL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","VEHICLE NON-COMMERCIAL","false","true","1522","015","29","25","08B","1139099","1898232","2019","2019-10-01T16:20:30.000","41.876863624","-87.764739259","POINT (-87.764739259 41.876863624)","","","","","52","22216","26","67","7","32","25","97"
"11839819","JC447236","2019-09-24T22:05:00.000","001XX N CLARK ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0122","001","42","32","14","1175522","1901084","2019","2019-10-01T16:20:30.000","41.883949686","-87.630919768","POINT (-87.630919768 41.883949686)","","","","","22","14310","38","92","36","41","22","88"
"11841636","JC448464","2019-09-24T22:00:00.000","074XX N CLARK ST","0460","BATTERY","SIMPLE","NURSING HOME/RETIREMENT HOME","false","false","2422","024","49","1","08B","1163047","1949438","2019","2019-10-01T16:20:30.000","42.016906591","-87.675365909","POINT (-87.675365909 42.016906591)","","","","","3","21853","10","489","5","9","11","33"
"11840077","JC447517","2019-09-24T22:00:00.000","042XX W POTOMAC AVE","0810","THEFT","OVER $500","STREET","false","false","2534","025","37","23","06","1147879","1908321","2019","2019-10-01T16:20:30.000","41.904384809","-87.732241912","POINT (-87.732241912 41.904384809)","","","","","4","4299","24","286","45","5","6","194"
"11840064","JC447476","2019-09-24T22:00:00.000","097XX S WENTWORTH AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0511","005","21","49","14","1176662","1840358","2019","2019-10-01T16:20:30.000","41.71728607","-87.628561966","POINT (-87.628561966 41.71728607)","","","","","18","21861","45","568","13","19","10","250"
"11840056","JC447464","2019-09-24T22:00:00.000","028XX S TRIPP AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1031","010","22","30","14","1148517","1884754","2019","2019-10-01T16:20:30.000","41.839701904","-87.730506309","POINT (-87.730506309 41.839701904)","","","","","14","21569","32","248","28","57","21","167"
"11841255","JC448882","2019-09-24T22:00:00.000","006XX E 112TH ST","1320","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","false","false","0531","005","9","50","14","1182663","1830895","2019","2019-10-01T16:20:30.000","41.691181473","-87.606875402","POINT (-87.606875402 41.691181473)","","","","","30","21861","47","601","43","19","10","265"
"11839866","JC447269","2019-09-24T22:00:00.000","062XX S ROCKWELL ST","0330","ROBBERY","AGGRAVATED","SIDEWALK","false","false","0825","008","16","66","03","1160112","1863183","2019","2019-10-01T16:20:30.000","41.780277183","-87.688551376","POINT (-87.688551376 41.780277183)","","","","","44","21867","64","111","2","58","13","274"
"11840764","JC448406","2019-09-24T22:00:00.000","027XX N MAGNOLIA AVE","0810","THEFT","OVER $500","STREET","false","false","1932","019","43","7","06","1167501","1918263","2019","2019-10-01T16:20:30.000","41.931266319","-87.659878229","POINT (-87.659878229 41.931266319)","","","","","16","21190","68","796","34","16","5","173"
